,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
772975,31 August 2016,Explosions/Remote violence,Mali,Gao,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
773103,31 August 2016,Battles,Mali,Mopti,Ansar Dine,Military Forces of Mali (2013-2020),,
773105,31 August 2016,Battles,Mali,Mopti,Ansar Dine,Police Forces of Mali (2013-2020),,
773574,29 August 2016,Battles,Mali,Mopti,Ansar Dine,Military Forces of Mali (2013-2020),,
773734,28 August 2016,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Fulani Ethnic Militia (Mali),Pastoralists (Mali),Pastoralists (Mali)
775744,17 August 2016,Riots,Mali,Bamako,Police Forces of Mali (2013-2020),Rioters (Mali),,Journalists (Mali)
775803,17 August 2016,Battles,Mali,Kidal,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
775825,17 August 2016,Battles,Mali,Mopti,Ansar Dine,Military Forces of Mali (2013-2020),,
776069,16 August 2016,Explosions/Remote violence,Mali,Kidal,Ansar Dine,Military Forces of France (2012-2017),,
776070,16 August 2016,Explosions/Remote violence,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2012-2017)
776072,16 August 2016,Explosions/Remote violence,Mali,Kidal,Ansar Dine,Military Forces of France (2012-2017),,
776133,15 August 2016,Battles,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
777350,09 August 2016,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,HCUA: High Council for the Unity of Azawad,,CMA: Coordination of Movements of the Azawad
777897,07 August 2016,Explosions/Remote violence,Mali,Kidal,Katiba Macina,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
777926,07 August 2016,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2013-2020),,
778005,07 August 2016,Explosions/Remote violence,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
778455,05 August 2016,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
779444,31 July 2016,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2013-2020),,
779626,30 July 2016,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
779633,30 July 2016,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
780530,26 July 2016,Strategic developments,Mali,Kayes,Military Forces of Mali (2013-2020),Ansar Dine,,
781992,22 July 2016,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
782280,21 July 2016,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
782361,20 July 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),CMA: Coordination of Movements of the Azawad,,
782822,19 July 2016,Battles,Mali,Segou,Katiba Macina,Military Forces of Mali (2013-2020),,
783181,18 July 2016,Violence against civilians,Mali,Mopti,Islamist Militia (Mali),Civilians (Mali),,
783674,16 July 2016,Protests,Mali,Bamako,Protesters (Mali),,,
784096,14 July 2016,Protests,Mali,Bamako,Protesters (Mali),,,
784098,14 July 2016,Protests,Mali,Tombouctou,Protesters (Mali),,,
784446,13 July 2016,Protests,Mali,Gao,Protesters (Mali),,,
784619,12 July 2016,Protests,Mali,Gao,Protesters (Mali),Military Forces of Mali (2013-2020),,
784715,11 July 2016,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Government of Mali (2013-2020)
785155,09 July 2016,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
786607,01 July 2016,Battles,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,Military Forces of Mali (2013-2020)
786757,30 June 2016,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali)
787001,29 June 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
787607,25 June 2016,Battles,Mali,Mopti,Koussouma Communal Militia (Mali),Mougna Communal Militia (Mali),,
788613,20 June 2016,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,HCUA: High Council for the Unity of Azawad,,
788705,19 June 2016,Battles,Mali,Tombouctou,Ansar Dine,Police Forces of Mali (2013-2020) Gendarmerie,,
789458,15 June 2016,Violence against civilians,Mali,Tombouctou,Islamist Militia (Mali),Civilians (Mali),,
789641,14 June 2016,Strategic developments,Mali,Bamako,Government of Mali (2013-2020),HCUA: High Council for the Unity of Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad
790101,12 June 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
790313,11 June 2016,Battles,Mali,Mopti,GATIA: Imghad Tuareg and Allies Self-Defense Group,Ganda Izo Ethnic Militia (Mali),,
791139,06 June 2016,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MNLA: National Movement for the Liberation of Azawad,,
792178,31 May 2016,Battles,Mali,Gao,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
792317,30 May 2016,Riots,Mali,Tombouctou,Rioters (Mali),,,
792329,30 May 2016,Protests,Mali,Kidal,Protesters (Mali),,,
792576,29 May 2016,Battles,Mali,Mopti,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
792891,27 May 2016,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
793729,22 May 2016,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
793791,22 May 2016,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
793930,21 May 2016,Protests,Mali,Bamako,Protesters (Mali),,,
793944,21 May 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
794353,19 May 2016,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
794426,18 May 2016,Violence against civilians,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Civilians (Mali),,
794536,18 May 2016,Battles,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
795169,14 May 2016,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Military Forces of Mali (2013-2020)
795295,13 May 2016,Protests,Mali,Gao,Protesters (Mali),,,
795699,11 May 2016,Explosions/Remote violence,Mali,Gao,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,
795862,10 May 2016,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
797190,03 May 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
797541,01 May 2016,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),,Bambara Ethnic Group (Mali); Farmers (Mali)
797598,01 May 2016,Violence against civilians,Mali,Mopti,Militia (Pro-Government),Civilians (Mali),Bambara Ethnic Militia (Mali),Fulani Ethnic Group (Mali)
797802,30 April 2016,Violence against civilians,Mali,Mopti,Militia (Pro-Government),Civilians (Mali),Bambara Ethnic Militia (Mali),Fulani Ethnic Group (Mali)
798076,29 April 2016,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (International),,Aid Workers (Mali)
799099,23 April 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
799916,18 April 2016,Riots,Mali,Kidal,Rioters (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
800211,16 April 2016,Violence against civilians,Mali,Kidal,Ansar Dine,Civilians (International),,ICRC: International Committee of the Red Cross and Red Crescent; Aid Workers (Mali)
800286,16 April 2016,Strategic developments,Mali,Bamako,Police Forces of Mali (2013-2020),AQIM: Al Qaeda in the Islamic Maghreb,,
800484,15 April 2016,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),,Fulani Ethnic Group (Mali)
800854,13 April 2016,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2013-2020),,
801029,12 April 2016,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of France (2012-2017),,
801417,10 April 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
801811,08 April 2016,Violence against civilians,Mali,Segou,Military Forces of Mali (2013-2020),Civilians (Mali),,
802012,07 April 2016,Violence against civilians,Mali,Segou,Military Forces of Mali (2013-2020),Civilians (Mali),,Fulani Ethnic Group (Mali)
803216,01 April 2016,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),,Fulani Ethnic Group (Mali)
803311,01 April 2016,Explosions/Remote violence,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
803649,29 March 2016,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
803877,28 March 2016,Strategic developments,Mali,Segou,Military Forces of Mali (2013-2020),Ansar Dine,,
804904,21 March 2016,Battles,Mali,Bamako,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),Islamist Militia (Mali),Police Forces of Mali (2013-2020); EUTM Mali: European Union Training Mission Mali
804924,21 March 2016,Violence against civilians,Mali,Mopti,Islamist Militia (Niger),Civilians (Mali),,
806455,12 March 2016,Battles,Mali,Kidal,Mutiny of MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
807240,07 March 2016,Battles,Mali,Sikasso,Military Forces of Mali (2013-2020),Police Forces of Mali (2013-2020) Gendarmerie,,
808419,01 March 2016,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
808479,29 February 2016,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
808586,29 February 2016,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),,,
809127,25 February 2016,Battles,Mali,Kidal,Mutiny of MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
809382,24 February 2016,Battles,Mali,Tombouctou,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,
809742,22 February 2016,Battles,Mali,Gao,Ibogholitane Ethnic Militia (Mali),Dawsahak Ethnic Militia (Mali),,
810460,19 February 2016,Battles,Mali,Gao,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,
810758,18 February 2016,Violence against civilians,Mali,Gao,Ibogholitane Ethnic Militia (Mali),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
811756,14 February 2016,Explosions/Remote violence,Mali,Kidal,Islamist Militia (Mali),Military Forces of France (2012-2017),,
812136,12 February 2016,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2013-2020),,
812157,12 February 2016,Battles,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
812331,11 February 2016,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Government of Mali (2013-2020)
812626,09 February 2016,Explosions/Remote violence,Mali,Mopti,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,
813445,05 February 2016,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of Mali (2013-2020)
814028,02 February 2016,Strategic developments,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,,,
814156,01 February 2016,Riots,Mali,Tombouctou,Rioters (Mali),Civilians (Mali),Vigilante Group (Mali),Tuareg Ethnic Group (Mali)
814924,28 January 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
814925,28 January 2016,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
815381,25 January 2016,Battles,Mali,Gao,Unidentified Armed Group (Mali),Private Security Forces (Mali),,
816238,21 January 2016,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
816663,19 January 2016,Battles,Mali,Mopti,Police Forces of Mali (2013-2020) Gendarmerie,Islamist Militia (Mali),,
817345,15 January 2016,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Private Security Forces (Mali),Islamist Militia (Mali),
817435,15 January 2016,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
818826,08 January 2016,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),,
818881,07 January 2016,Violence against civilians,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,Civilians (International),,Civilians (Switzerland); Women (Switzerland)
820845,25 December 2015,Battles,Mali,Kidal,Ansar Dine,CMA: Coordination of Movements of the Azawad,,
820923,24 December 2015,Battles,Mali,Kidal,Ansar Dine,CMA: Coordination of Movements of the Azawad,,
821066,22 December 2015,Battles,Mali,Sikasso,Karatou Communal Militia (Mali),Nielimala Communal Militia (Guinea),,
821279,20 December 2015,Battles,Mali,Gao,Al Mourabitoune Battalion,Military Forces of France (2012-2017),,
821345,19 December 2015,Battles,Mali,Kidal,Ansar Dine,CMA: Coordination of Movements of the Azawad,,
821365,19 December 2015,Battles,Mali,Gao,Military Forces of France (2012-2017),MAA: Arab Movement of the Azawad,,
821366,19 December 2015,Battles,Mali,Gao,Al Mourabitoune Battalion,Military Forces of France (2012-2017),,
821603,17 December 2015,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Christian Group (Mali)
821731,15 December 2015,Battles,Mali,Gao,Military Forces of Mali (2013-2020),Islamist Militia (Mali),,
821818,15 December 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
821986,13 December 2015,Battles,Mali,Segou,Military Forces of Mali (2013-2020),Ansar Dine,,
823436,29 November 2015,Violence against civilians,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,Civilians (International)
823539,28 November 2015,Explosions/Remote violence,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Civilians (Mali)
823879,24 November 2015,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Civilians (Mali)
824244,20 November 2015,Violence against civilians,Mali,Bamako,Al Mourabitoune Battalion,Civilians (Mali),Katiba Macina,Civilians (International)
824270,20 November 2015,Battles,Mali,Bamako,Al Mourabitoune Battalion,Military Forces of Mali (2013-2020),Katiba Macina,Military Forces of France (2012-2017); Military Forces of the United States (2009-2017)
824793,15 November 2015,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Katiba Macina,,
824871,14 November 2015,Strategic developments,Mali,Mopti,Military Forces of Mali (2013-2020),Katiba Macina,,
825184,11 November 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),,,
825917,03 November 2015,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),Islamist Militia (Mali),
826451,28 October 2015,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Katiba Macina,,
826949,24 October 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Civilians (Mali)
827822,15 October 2015,Strategic developments,Mali,Bamako,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,Ifogha Ethnic Militia (Mali),
827899,14 October 2015,Battles,Mali,Tombouctou,Military Forces of Mali (2013-2020),Ansar Dine,,
828007,13 October 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of France (2012-2017),,
828013,13 October 2015,Battles,Mali,Gao,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
828395,10 October 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,Prisoners (Mali),Police Forces of Mali (2013-2020) Prison Guards
828435,09 October 2015,Violence against civilians,Mali,Mopti,Islamist Militia (Mali),Civilians (Mali),Katiba Macina,Government of Mali (2013-2020)
828806,06 October 2015,Violence against civilians,Mali,Gao,Tuareg Ethnic Militia (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali)
830227,21 September 2015,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
830381,19 September 2015,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2013-2020),,
830546,18 September 2015,Strategic developments,Mali,Kidal,CMA: Coordination of Movements of the Azawad,,,
830547,18 September 2015,Battles,Mali,Segou,Unidentified Armed Group (Mali),Private Security Forces (Mali),,
830666,17 September 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
831238,12 September 2015,Battles,Mali,Mopti,Katiba Macina,Police Forces of Mali (2013-2020),,
831290,11 September 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
832211,02 September 2015,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
832379,01 September 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
833309,22 August 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
833654,18 August 2015,Protests,Mali,Kayes,Protesters (Mali),Police Forces of Mali (2013-2020),Journalists (Mali),
833766,17 August 2015,Battles,Mali,Tombouctou,Tuareg Ethnic Militia (Mali),Songhai Ethnic Militia (Mali),,
833782,17 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
833783,17 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
833784,17 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
833870,16 August 2015,Battles,Mali,Tombouctou,Tuareg Ethnic Militia (Mali),Songhai Ethnic Militia (Mali),,
833885,16 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
833886,16 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
833887,16 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
833958,15 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
834102,13 August 2015,Violence against civilians,Mali,Segou,Katiba Macina,Civilians (Mali),,Muslim Group (Mali)
834164,12 August 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020),,
834350,10 August 2015,Explosions/Remote violence,Mali,Mopti,GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-2020),,
834455,09 August 2015,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
834545,08 August 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Gaberi Communal Militia (Mali),,
834606,07 August 2015,Battles,Mali,Mopti,GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-2020),Katiba Macina,
834611,07 August 2015,Violence against civilians,Mali,Mopti,GMA: Mourabitounes Group of Azawad,Civilians (International),Katiba Macina,Civilians (Mali)
834920,03 August 2015,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2013-2020),,
835092,01 August 2015,Battles,Mali,Segou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
835686,24 July 2015,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Islamist Militia (Mali),,
835848,21 July 2015,Battles,Mali,Gao,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),
836037,18 July 2015,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
836038,18 July 2015,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali)
836111,16 July 2015,Battles,Mali,Sikasso,Military Forces of Mali (2013-2020),Islamist Militia (Mali),,Ansar Dine
837151,05 July 2015,Battles,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of France (2012-2017),,
837406,02 July 2015,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
837470,01 July 2015,Battles,Mali,Sikasso,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,
837779,28 June 2015,Battles,Mali,Sikasso,Ansar Dine,Military Forces of Mali (2013-2020),,
837866,27 June 2015,Battles,Mali,Koulikoro,Ansar Dine,Military Forces of Mali (2013-2020),Fulani Ethnic Militia (Mali),
838574,20 June 2015,Strategic developments,Mali,Bamako,CMA: Coordination of Movements of the Azawad,Government of Mali (2013-2020),,
838663,19 June 2015,Strategic developments,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,Military Forces of Mali (2013-2020),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
839206,14 June 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),GMA: Mourabitounes Group of Azawad,AQIM: Al Qaeda in the Islamic Maghreb,MUJAO: Movement for Unity and Jihad in West Africa
839536,10 June 2015,Battles,Mali,Sikasso,Islamist Militia (Mali),Police Forces of Mali (2013-2020),Ansar Dine,Military Forces of Mali (2013-2020)
839898,07 June 2015,Battles,Mali,Kayes,Unidentified Communal Militia (Guinea),Police Forces of Mali (2013-2020) Gendarmerie,,
840198,04 June 2015,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
840258,03 June 2015,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
840328,03 June 2015,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
840525,01 June 2015,Battles,Mali,Mopti,Movement of the Liberation of Maasina,Military Forces of Mali (2013-2020),Fulani Ethnic Group (Mali),
840855,29 May 2015,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Government of Mali (2013-2020)
840897,29 May 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
840996,28 May 2015,Explosions/Remote violence,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
841231,26 May 2015,Protests,Mali,Bamako,Protesters (Mali),,,
841284,25 May 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
841358,25 May 2015,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,CMA: Coordination of Movements of the Azawad
841459,24 May 2015,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),,Fulani Ethnic Group (Mali)
841464,24 May 2015,Violence against civilians,Mali,Sikasso,Military Forces of Mali (2013-2020),Civilians (Mali),,Fulani Ethnic Group (Mali)
841592,22 May 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
841606,22 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
841715,21 May 2015,Violence against civilians,Mali,Gao,Military Forces of Mali (2013-2020),Civilians (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,Aid Workers (Mali)
841853,20 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
841854,20 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,Military Forces of Mali (2013-2020)
841901,20 May 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),Private Security Forces (Central African Republic),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
842139,18 May 2015,Battles,Mali,Tombouctou,MAA: Arab Movement of the Azawad,Military Forces of Mali (2013-2020),,
842163,18 May 2015,Battles,Mali,Kidal,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
842237,17 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
842370,15 May 2015,Riots,Mali,Kidal,Rioters (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Tuareg Ethnic Group (Mali),
842383,15 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
842425,15 May 2015,Strategic developments,Mali,Bamako,Government of Mali (2013-2020),GATIA: Imghad Tuareg and Allies Self-Defense Group,Government of Algeria (1999-),CMA: Coordination of Movements of the Azawad
842488,14 May 2015,Strategic developments,Mali,Bamako,GMA: Mourabitounes Group of Azawad,,,
842669,13 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
842801,12 May 2015,Protests,Mali,Bamako,Protesters (Mali),,Women (Mali),
842875,11 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
